notriad;no_order;emotion;FINAL
2;2;1;5.6914
2;2;1;17.5165
2;2;1;7.4860
2;2;1;2.3117
2;2;1;16.8077
2;2;1;3.8370
2;2;2;10.3191
2;2;2;9.7851
2;2;2;7.7406
2;2;2;8.1218
2;2;2;16.4109
2;2;2;15.6896
2;2;2;10.8850
2;2;2;13.0597
2;2;2;17.8214
2;2;2;5.4256
2;2;2;4.6948
2;2;2;9.8883
2;2;2;4.9391
2;2;2;15.4826
2;2;2;12.1336
2;2;2;22.0426
2;2;2;2.0199
2;2;2;4.0274
2;2;2;19.8089
2;2;2;4.6874
2;2;2;4.0945
2;2;2;22.6085
2;2;2;1.3362
2;2;2;6.1104
2;2;2;17.1064
2;2;2;7.0287
2;2;2;1.9345
2;2;2;16.3977
2;2;2;3.9070
2;2;2;0.9326
2;2;2;26.3588
2;2;2;6.2820
2;2;2;8.3388
2;2;2;24.1252
2;2;2;1.1046
2;2;2;1.3915
2;2;2;26.9248
2;2;2;3.2292
2;2;2;1.7909
2;2;2;21.4227
2;2;2;11.3450
2;2;2;6.1887
2;2;2;20.7139
2;2;2;1.6730
2;2;2;3.9640
2;2;2;2.3989
2;2;2;22.5031
2;2;2;20.4586
2;2;2;4.6326
2;2;2;29.1288
2;2;2;28.4075
2;2;2;1.8330
2;2;2;25.7777
2;2;2;30.5393
2;2;2;7.3351
2;2;2;17.4128
2;2;2;22.6063
2;2;2;8.0438
2;2;2;28.2006
2;2;2;24.8515
2;2;2;18.5398
2;2;2;1.8112
2;2;2;1.0346
2;2;2;16.3061
2;2;2;8.1901
2;2;2;7.4741
2;2;2;19.1057
2;2;2;4.8389
2;2;2;9.6033
2;2;2;13.6036
2;2;2;3.6366
2;2;2;2.4414
2;2;2;12.8949
2;2;2;7.4648
2;2;2;3.9242
2;2;2;28.2541
2;2;2;8.1659
2;2;2;10.3211
2;2;2;26.0204
2;2;2;2.3226
2;2;2;2.2742
2;2;2;28.8200
2;2;2;5.2375
2;2;2;0.9884
2;2;2;23.3179
2;2;2;13.3066
2;2;2;8.1268
2;2;2;22.6092
2;2;2;3.4441
2;2;2;5.8239
2;2;2;1.0234
2;2;2;19.9402
2;2;2;17.8957
2;2;2;2.0697
2;2;2;26.5660
2;2;2;25.8447
2;2;2;1.1567
2;2;2;23.2148
2;2;2;27.9765
2;2;2;4.7818
2;2;2;14.8499
2;2;2;20.0434
2;2;2;5.4810
2;2;2;25.6377
2;2;2;22.2887
2;2;2;21.8031
2;2;2;1.6989
2;2;2;3.7556
2;2;2;19.5694
2;2;2;4.9317
2;2;2;4.3085
2;2;2;22.3690
2;2;2;1.7080
2;2;2;6.3778
2;2;2;16.8669
2;2;2;6.7944
2;2;2;1.5957
2;2;2;16.1582
2;2;2;4.4558
2;2;2;0.8354
2;2;2;26.0824
2;2;2;5.9782
2;2;2;8.0512
2;2;2;23.8487
2;2;2;1.6079
2;2;2;0.4452
2;2;2;26.6483
